frame.protocols,eth.src,eth.dst,ip.src,ip.dst,ip.flags,ip.checksum,tcp.flags,tcp.checksum,alert,frame.year,frame.month,frame.day,frame.hour,frame.minute,frame.second,attack_probability,anomaly_score,alert_score,final_alert,shap_top_features
7,1,2,1,2,0,4804,24,13525,0,2026,8,16,0,0,0,0.16399667,0.77,0.4064,0,"frame.second (-0.680), frame.protocols (-0.621), tcp.flags (-0.341)"
1,3,1,2,2,0,42161,24,45506,0,2026,8,16,0,0,1,0.11412338,0.6767,0.3391,0,"frame.second (-0.862), eth.src (-0.795), frame.minute (-0.305)"
7,1,2,2,1,0,42161,16,45506,0,2026,8,16,0,0,2,0.33653864,0.6666,0.4686,0,"frame.second (-0.825), frame.protocols (-0.439), eth.dst (+0.277)"
7,3,3,1,3,2,42161,16,13525,0,2026,8,16,0,0,3,0.05557699,0.8414,0.3699,0,"frame.second (-1.390), eth.src (-0.606), eth.dst (-0.478)"
1,1,3,2,1,2,42161,2,13525,0,2026,8,16,0,0,4,0.13701516,0.4998,0.2821,0,"frame.second (-0.817), eth.dst (-0.427), ip.dst (+0.278)"
1,1,1,2,1,2,4804,2,45506,0,2026,8,16,0,0,5,0.30927902,0.7933,0.5029,1,"frame.second (-0.528), ip.dst (+0.399), tcp.flags (-0.381)"
7,2,2,3,3,0,4804,16,45506,0,2026,8,16,0,0,6,0.08151474,0.7006,0.3292,0,"ip.src (-1.170), frame.second (-0.713), ip.dst (-0.277)"
2,2,1,2,3,0,4804,2,45506,1,2026,8,16,0,0,7,0.4711885,0.544,0.5003,1,"ip.dst (-0.402), eth.src (+0.378), frame.second (-0.240)"
7,3,1,2,2,0,42161,16,13525,0,2026,8,16,0,0,8,0.0520048,0.6839,0.3048,0,"frame.second (-1.402), eth.src (-0.760), frame.protocols (-0.323)"
7,2,2,2,3,0,4804,2,13525,1,2026,8,16,0,0,9,0.7019337,0.5702,0.6492,1,"frame.second (+0.520), eth.src (+0.457), frame.protocols (-0.334)"
7,3,2,3,2,0,4804,24,13525,0,2026,8,16,0,0,10,0.3804066,0.6692,0.4959,0,"eth.src (-0.355), frame.protocols (-0.338), frame.minute (-0.331)"
7,2,2,1,2,0,42161,2,13525,0,2026,8,16,0,0,11,0.20895453,0.5469,0.3441,0,"frame.second (-0.678), frame.protocols (-0.655), eth.src (+0.406)"
1,1,3,3,2,0,42161,24,13525,0,2026,8,16,0,0,12,0.20537807,0.5583,0.3466,0,"frame.second (-0.385), frame.minute (-0.376), ip.flags (-0.344)"
7,3,1,3,3,2,4804,24,45506,0,2026,8,16,0,0,13,0.1469456,0.8296,0.42,0,"frame.second (-0.652), ip.checksum (-0.402), eth.src (-0.374)"
2,3,1,1,1,0,42161,24,45506,0,2026,8,16,0,0,14,0.06736152,0.6765,0.311,0,"eth.src (-0.956), frame.minute (-0.419), ip.flags (-0.413)"
1,1,3,3,2,2,42161,24,13525,1,2026,8,16,0,0,15,0.71767974,0.5133,0.6359,1,"frame.second (+0.493), ip.flags (+0.293), frame.minute (-0.217)"
2,3,2,1,1,2,42161,2,13525,1,2026,8,16,0,0,16,0.7288091,0.5053,0.6394,1,"frame.second (+0.923), eth.src (-0.429), tcp.flags (-0.260)"
2,3,3,3,1,0,42161,16,45506,0,2026,8,16,0,0,17,0.3108529,0.4811,0.379,0,"frame.second (+0.430), ip.src (-0.302), frame.minute (-0.286)"
2,2,3,1,3,0,4804,24,45506,0,2026,8,16,0,0,18,0.056890845,0.6491,0.2938,0,"ip.dst (-0.736), eth.dst (-0.536), tcp.flags (-0.452)"
2,3,3,2,1,2,42161,2,45506,1,2026,8,16,0,0,19,0.7614423,0.4366,0.6315,1,"frame.second (+0.921), eth.src (-0.319), frame.minute (+0.289)"
1,1,1,3,1,2,42161,24,45506,0,2026,8,16,0,0,20,0.39315492,0.6422,0.4928,0,"ip.src (-0.757), tcp.flags (+0.564), frame.protocols (-0.317)"
1,2,3,3,3,0,42161,2,13525,1,2026,8,16,0,0,21,0.73590153,0.5528,0.6626,1,"ip.dst (-0.588), frame.second (+0.501), frame.minute (+0.375)"
2,2,1,3,2,0,42161,2,45506,1,2026,8,16,0,0,22,0.709007,0.4512,0.6059,1,"frame.second (+0.911), ip.src (-0.550), frame.minute (+0.314)"
2,1,1,3,1,2,42161,2,13525,1,2026,8,16,0,0,23,0.34984824,0.5758,0.4402,0,"ip.src (-0.716), tcp.flags (-0.372), frame.second (+0.337)"
1,1,1,2,3,0,42161,16,45506,0,2026,8,16,0,0,24,0.20754105,0.5156,0.3308,0,"ip.dst (-0.427), frame.protocols (-0.409), ip.flags (-0.243)"
